##
## Kepler Eclipsing Binary Catalog
## Revision Date (Y/M/D): July 18, 2019, 11:54 p.m.
## Download Date (Y/M/D): 2019/07/22
##
## Query String: {&quot;sort&quot;:&quot;p&quot;,&quot;etvlong&quot;:true,&quot;campaign&quot;:[&quot;5&quot;,&quot;4&quot;,&quot;1&quot;,&quot;0&quot;,&quot;3&quot;,&quot;2&quot;,&quot;-2&quot;],&quot;morph&quot;:{&quot;max&quot;:0.8,&quot;min&quot;:0.0},&quot;kics&quot;:[],&quot;cols&quot;:[&quot;sdepth&quot;,&quot;scdata&quot;,&quot;morph&quot;,&quot;pdepth&quot;,&quot;kic&quot;,&quot;lcdata&quot;,&quot;keff&quot;,&quot;p&quot;,&quot;figs&quot;,&quot;perr&quot;],&quot;etvshort&quot;:true,&quot;p&quot;:{&quot;max&quot;:50.0,&quot;min&quot;:0.0},&quot;incat1&quot;:true,&quot;keff&quot;:{&quot;min&quot;:0.0},&quot;kois&quot;:[]}
##
#KIC,period,period_err,pdepth,sdepth,morph,Teff,SC,
9472174,0.1257653,0.0000001,0.0462,-1.0000,0.78,10645.0000,True,
12350008,0.1845296,0.0000001,0.0017,0.0016,0.71,6108.0000,False,
9532219,0.1981551,0.0000001,0.0664,0.0622,0.77,5031.0000,False,
6387887,0.2169003,0.0000008,0.3749,-1.0000,0.58,10648.0000,False,
8288741,0.2197664,0.0000001,0.0010,0.0009,0.64,5557.0000,False,
8108785,0.2288269,0.0000001,0.2440,0.1933,0.76,4354.0000,False,
10453521,0.2307783,0.0000067,0.0000,-1.0000,0.36,6541.0000,False,
9238207,0.2313530,0.0000002,0.0989,0.0725,0.75,4910.0000,False,
8555795,0.2345234,0.0000001,0.0029,-1.0000,0.63,5002.0000,False,
10965091,0.2358555,0.0000001,0.3207,0.3521,0.76,4718.0000,False,
2715417,0.2364399,0.0000001,0.1005,0.0886,0.77,5189.0000,False,
9077796,0.2380804,0.0000001,0.0579,-1.0000,0.72,3516.0000,False,
6050116,0.2399081,0.0000001,0.3528,0.3354,0.79,4569.0000,False,
6350020,0.2417928,0.0000001,0.0098,0.0093,0.74,5592.0000,False,
7198474,0.2423046,0.0000001,0.0058,0.0057,0.76,5759.0000,False,
7871200,0.2429038,0.0000001,0.4105,0.3684,0.75,4644.0000,False,
9345163,0.2451223,0.0000001,0.4462,0.4099,0.77,4799.0000,False,
8816790,0.2458562,0.0000001,0.0005,-1.0000,0.79,6226.0000,False,
9032671,0.2496079,0.0000001,0.0151,0.0072,0.70,4807.0000,False,
4857282,0.2507526,0.0000001,0.0018,0.0019,0.75,5456.0000,False,
11769739,0.2524728,0.0000001,0.0587,0.0584,0.77,5136.0000,False,
9478836,0.2540637,0.0000001,0.0007,-1.0000,0.71,4939.0000,False,
5685072,0.2559051,0.0000002,0.5708,0.4809,0.73,4626.0000,False,
9700154,0.2572534,0.0000001,0.2395,0.1675,0.80,4315.0000,False,
9662581,0.2580109,0.0000002,0.3404,0.3135,0.79,4773.0000,False,
2856960,0.2585073,0.0000001,0.0088,0.0098,0.64,4733.0000,True,
7339345,0.2596643,0.0000001,0.3830,0.3851,0.76,4877.0000,False,
9392331,0.2617622,0.0000002,0.0741,0.0694,0.77,5993.0000,False,
12004834,0.2623168,0.0000001,0.1392,0.1191,0.63,3576.0000,True,
6106771,0.2638263,0.0000002,0.3447,0.2900,0.77,5559.0000,False,
10557008,0.2654186,0.0000002,0.2709,0.2450,0.80,5088.0000,False,
5785551,0.2666875,0.0000002,0.3531,0.3493,0.74,5034.0000,False,
9388303,0.2667035,0.0000002,0.3314,0.3136,0.78,5385.0000,False,
6072578,0.2696718,0.0000002,0.0023,0.0021,0.77,5017.0000,False,
9026766,0.2721278,0.0000002,0.3376,0.3187,0.76,4880.0000,False,
10802917,0.2724524,0.0000002,0.5357,0.4857,0.74,4937.0000,False,
3832382,0.2726487,0.0000002,0.4144,0.3154,0.75,4454.0000,False,
7697065,0.2727656,0.0000002,0.0293,0.0201,0.70,5126.0000,False,
3743834,0.2736148,0.0000002,0.4260,0.3373,0.76,4889.0000,True,
11566174,0.2768752,0.0000002,0.3558,0.2991,0.77,5300.0000,False,
3354616,0.2769826,0.0000002,0.0069,0.0061,0.76,5093.0000,False,
10074939,0.2770936,0.0000002,0.2779,0.2634,0.76,4812.0000,False,
11246163,0.2792275,0.0000002,0.4156,0.4049,0.79,5277.0000,False,
4476900,0.2796663,0.0000002,0.2471,0.2075,0.78,5222.0000,False,
5786545,0.2805751,0.0000002,0.4152,0.3629,0.75,4954.0000,False,
7272739,0.2811646,0.0000002,0.3623,0.3015,0.77,5192.0000,True,
5218385,0.2815375,0.0000002,0.0473,0.0440,0.78,5260.0000,False,
7199353,0.2819867,0.0000002,0.3280,0.2789,0.78,5166.0000,False,
10350225,0.2820697,0.0000002,0.2064,0.1111,0.80,5455.0000,False,
1433410,0.2832752,0.0000031,0.1179,0.1219,0.74,6003.0000,False,
8242493,0.2832856,0.0000002,0.2638,0.2315,0.75,4985.0000,False,
7440742,0.2839922,0.0000002,0.0215,0.0180,0.73,4834.0000,False,
9533706,0.2841181,0.0000003,0.4099,0.3805,0.78,5675.0000,False,
4241946,0.2843840,0.0000002,0.4731,0.4432,0.75,4663.0000,False,
11405559,0.2849367,0.0000002,0.3908,0.3347,0.75,5232.0000,False,
7367833,0.2861988,0.0000002,0.1763,0.1487,0.77,5799.0000,False,
11444780,0.2867135,0.0000002,0.4500,0.4313,0.73,4566.0000,False,
4073678,0.2882443,0.0000027,0.0020,-1.0000,0.67,5763.0000,False,
11341950,0.2883712,0.0000002,0.5253,0.4266,0.74,5511.0000,False,
5699617,0.2889166,0.0000002,0.3188,0.2545,0.77,4817.0000,False,
6467389,0.2889760,0.0000002,0.2667,0.2192,0.79,5183.0000,False,
9882280,0.2890750,0.0000002,0.4287,0.4276,0.77,5343.0000,False,
9664382,0.2907540,0.0000004,0.3647,0.2948,0.75,4936.0000,False,
6128248,0.2917436,0.0000002,0.4400,0.3454,0.76,4867.0000,False,
11135978,0.2920594,0.0000002,0.0076,0.0061,0.75,5004.0000,False,
3730067,0.2940786,0.0000002,0.3828,0.2076,0.62,4099.0000,True,
3454864,0.2941204,0.0000002,0.0426,0.0271,0.69,5791.0000,False,
6471048,0.2972280,0.0000002,0.4348,0.3554,0.77,4850.0000,False,
6046061,0.2972557,0.0000002,0.0016,-1.0000,0.70,4563.0000,False,
7130044,0.2976650,0.0000002,0.3706,0.2902,0.76,5047.0000,False,
10880490,0.2980053,0.0000002,0.1110,0.0911,0.75,5807.0000,False,
5617953,0.2986960,0.0000002,0.2760,0.2394,0.76,5289.0000,False,
11604958,0.2989297,0.0000002,0.1820,0.1569,0.73,5286.0000,False,
5961327,0.2992020,0.0000002,0.3714,0.3428,0.76,4842.0000,False,
5881838,0.3003313,0.0000002,0.5536,0.4691,0.73,5093.0000,False,
7597095,0.3012058,0.0000002,0.3556,0.3145,0.76,4915.0000,False,
4074708,0.3021166,0.0000002,0.4800,0.4018,0.74,5308.0000,False,
8394040,0.3021265,0.0000002,0.0605,0.0533,0.79,5697.0000,False,
8625469,0.3022458,0.0000035,0.3641,0.3468,0.78,5298.0000,False,
4941060,0.3034224,0.0000002,0.4200,0.3465,0.75,5197.0000,False,
