logg,Teff,Z,xi,a,b,Filt,Met,Mod
 3.50,  4000,-5.0, 2.0, 0.0223, 0.4928,Kp,L,A
 3.50,  4250,-5.0, 2.0, 0.0991, 0.4197,Kp,L,A
 4.00,  4250,-5.0, 2.0, 0.0334, 0.4411,Kp,L,A
 3.50,  4500,-5.0, 2.0, 0.1724, 0.3992,Kp,L,A
 4.00,  4500,-5.0, 2.0, 0.0833, 0.4387,Kp,L,A
 3.50,  4750,-5.0, 2.0, 0.2535, 0.3566,Kp,L,A
 4.00,  4750,-5.0, 2.0, 0.1721, 0.4054,Kp,L,A
 4.50,  4750,-5.0, 2.0, 0.0979, 0.4334,Kp,L,A
 3.50,  5000,-5.0, 2.0, 0.2744, 0.3458,Kp,L,A
 4.00,  5000,-5.0, 2.0, 0.2433, 0.3643,Kp,L,A
 4.50,  5000,-5.0, 2.0, 0.1865, 0.3962,Kp,L,A
 5.00,  5000,-5.0, 2.0, 0.1411, 0.4079,Kp,L,A
 3.50,  5250,-5.0, 2.0, 0.2822, 0.3365,Kp,L,A
 4.00,  5250,-5.0, 2.0, 0.2668, 0.3480,Kp,L,A
 4.50,  5250,-5.0, 2.0, 0.2279, 0.3712,Kp,L,A
 5.00,  5250,-5.0, 2.0, 0.1686, 0.4030,Kp,L,A
 3.50,  5500,-5.0, 2.0, 0.2945, 0.3227,Kp,L,A
 4.00,  5500,-5.0, 2.0, 0.2719, 0.3390,Kp,L,A
 4.50,  5500,-5.0, 2.0, 0.2451, 0.3552,Kp,L,A
 5.00,  5500,-5.0, 2.0, 0.2087, 0.3777,Kp,L,A
 3.50,  5750,-5.0, 2.0, 0.2998, 0.3118,Kp,L,A
 4.00,  5750,-5.0, 2.0, 0.2827, 0.3255,Kp,L,A
 4.50,  5750,-5.0, 2.0, 0.2598, 0.3411,Kp,L,A
 5.00,  5750,-5.0, 2.0, 0.2307, 0.3599,Kp,L,A
 3.50,  6000,-5.0, 2.0, 0.3020, 0.3031,Kp,L,A
 4.00,  6000,-5.0, 2.0, 0.2910, 0.3127,Kp,L,A
 4.50,  6000,-5.0, 2.0, 0.2736, 0.3249,Kp,L,A
 5.00,  6000,-5.0, 2.0, 0.2484, 0.3425,Kp,L,A
 3.50,  6250,-5.0, 2.0, 0.3028, 0.2957,Kp,L,A
 4.00,  6250,-5.0, 2.0, 0.2910, 0.3056,Kp,L,A
 4.50,  6250,-5.0, 2.0, 0.2745, 0.3178,Kp,L,A
 5.00,  6250,-5.0, 2.0, 0.2608, 0.3272,Kp,L,A
 3.50,  6500,-5.0, 2.0, 0.2978, 0.2927,Kp,L,A
 4.00,  6500,-5.0, 2.0, 0.2900, 0.2994,Kp,L,A
 4.50,  6500,-5.0, 2.0, 0.2801, 0.3069,Kp,L,A
 5.00,  6500,-5.0, 2.0, 0.2639, 0.3185,Kp,L,A
 3.50,  6750,-5.0, 2.0, 0.2874, 0.2948,Kp,L,A
 4.00,  6750,-5.0, 2.0, 0.2837, 0.2978,Kp,L,A
 4.50,  6750,-5.0, 2.0, 0.2779, 0.3022,Kp,L,A
 5.00,  6750,-5.0, 2.0, 0.2668, 0.3103,Kp,L,A
 3.50,  7000,-5.0, 2.0, 0.2734, 0.3005,Kp,L,A
 4.00,  7000,-5.0, 2.0, 0.2736, 0.3001,Kp,L,A
 4.50,  7000,-5.0, 2.0, 0.2718, 0.3012,Kp,L,A
 5.00,  7000,-5.0, 2.0, 0.2637, 0.3069,Kp,L,A
 3.50,  7250,-5.0, 2.0, 0.2632, 0.3025,Kp,L,A
 4.00,  7250,-5.0, 2.0, 0.2595, 0.3057,Kp,L,A
 4.50,  7250,-5.0, 2.0, 0.2613, 0.3041,Kp,L,A
 5.00,  7250,-5.0, 2.0, 0.2576, 0.3062,Kp,L,A
 3.50,  7500,-5.0, 2.0, 0.3895, 0.1987,Kp,L,A
 4.00,  7500,-5.0, 2.0, 0.2523, 0.3084,Kp,L,A
 4.50,  7500,-5.0, 2.0, 0.2491, 0.3091,Kp,L,A
 5.00,  7500,-5.0, 2.0, 0.2473, 0.3094,Kp,L,A
 3.50,  7750,-5.0, 2.0, 0.3607, 0.2208,Kp,L,A
 4.00,  7750,-5.0, 2.0, 0.3644, 0.2145,Kp,L,A
 4.50,  7750,-5.0, 2.0, 0.2347, 0.3162,Kp,L,A
 5.00,  7750,-5.0, 2.0, 0.2353, 0.3143,Kp,L,A
 3.50,  8000,-5.0, 2.0, 0.3353, 0.2352,Kp,L,A
 4.00,  8000,-5.0, 2.0, 0.3365, 0.2353,Kp,L,A
 4.50,  8000,-5.0, 2.0, 0.3398, 0.2298,Kp,L,A
 5.00,  8000,-5.0, 2.0, 0.2200, 0.3219,Kp,L,A
 3.50,  8250,-5.0, 2.0, 0.3111, 0.2459,Kp,L,A
 4.00,  8250,-5.0, 2.0, 0.3129, 0.2481,Kp,L,A
 4.50,  8250,-5.0, 2.0, 0.3144, 0.2478,Kp,L,A
 5.00,  8250,-5.0, 2.0, 0.2098, 0.3266,Kp,L,A
 3.50,  8500,-5.0, 2.0, 0.2830, 0.2618,Kp,L,A
 4.00,  8500,-5.0, 2.0, 0.2935, 0.2530,Kp,L,A
 4.50,  8500,-5.0, 2.0, 0.2918, 0.2601,Kp,L,A
 5.00,  8500,-5.0, 2.0, 0.2912, 0.2612,Kp,L,A
 3.50,  8750,-5.0, 2.0, 0.2581, 0.2739,Kp,L,A
 4.00,  8750,-5.0, 2.0, 0.2699, 0.2639,Kp,L,A
 4.50,  8750,-5.0, 2.0, 0.2740, 0.2635,Kp,L,A
 5.00,  8750,-5.0, 2.0, 0.2713, 0.2717,Kp,L,A
 3.50,  9000,-5.0, 2.0, 0.2390, 0.2804,Kp,L,A
 4.00,  9000,-5.0, 2.0, 0.2483, 0.2736,Kp,L,A
 4.50,  9000,-5.0, 2.0, 0.2610, 0.2630,Kp,L,A
 5.00,  9000,-5.0, 2.0, 0.2755, 0.2492,Kp,L,A
 3.50,  9250,-5.0, 2.0, 0.2244, 0.2835,Kp,L,A
 4.00,  9250,-5.0, 2.0, 0.2303, 0.2798,Kp,L,A
 4.50,  9250,-5.0, 2.0, 0.2400, 0.2729,Kp,L,A
 5.00,  9250,-5.0, 2.0, 0.2524, 0.2621,Kp,L,A
 3.50,  9500,-5.0, 2.0, 0.2133, 0.2846,Kp,L,A
 4.00,  9500,-5.0, 2.0, 0.2167, 0.2827,Kp,L,A
 4.50,  9500,-5.0, 2.0, 0.2233, 0.2788,Kp,L,A
 5.00,  9500,-5.0, 2.0, 0.2332, 0.2713,Kp,L,A
 3.50,  9750,-5.0, 2.0, 0.2040, 0.2854,Kp,L,A
 4.00,  9750,-5.0, 2.0, 0.2056, 0.2842,Kp,L,A
 4.50,  9750,-5.0, 2.0, 0.2099, 0.2822,Kp,L,A
 5.00,  9750,-5.0, 2.0, 0.2173, 0.2775,Kp,L,A
 3.50, 10000,-5.0, 2.0, 0.1971, 0.2848,Kp,L,A
 4.00, 10000,-5.0, 2.0, 0.1972, 0.2845,Kp,L,A
 4.50, 10000,-5.0, 2.0, 0.1996, 0.2836,Kp,L,A
 5.00, 10000,-5.0, 2.0, 0.2043, 0.2813,Kp,L,A
 3.50,  3750,-4.5, 2.0, 0.1655, 0.4407,Kp,L,A
 3.50,  4000,-4.5, 2.0, 0.0526, 0.4699,Kp,L,A
 4.00,  4000,-4.5, 2.0, 0.0256, 0.5159,Kp,L,A
 3.50,  4250,-4.5, 2.0, 0.1058, 0.4192,Kp,L,A
 4.00,  4250,-4.5, 2.0, 0.0462, 0.4433,Kp,L,A
 4.50,  4250,-4.5, 2.0, 0.0200, 0.4489,Kp,L,A
 3.50,  4500,-4.5, 2.0, 0.2062, 0.3682,Kp,L,A
 4.00,  4500,-4.5, 2.0, 0.1227, 0.4097,Kp,L,A
 4.50,  4500,-4.5, 2.0, 0.0632, 0.4291,Kp,L,A
 5.00,  4500,-4.5, 2.0, 0.0251, 0.4270,Kp,L,A
 3.50,  4750,-4.5, 2.0, 0.2447, 0.3631,Kp,L,A
 4.00,  4750,-4.5, 2.0, 0.1753, 0.4044,Kp,L,A
 4.50,  4750,-4.5, 2.0, 0.1353, 0.4074,Kp,L,A
 5.00,  4750,-4.5, 2.0, 0.0835, 0.4195,Kp,L,A
 3.50,  5000,-4.5, 2.0, 0.2684, 0.3487,Kp,L,A
 4.00,  5000,-4.5, 2.0, 0.2292, 0.3743,Kp,L,A
 4.50,  5000,-4.5, 2.0, 0.1790, 0.3995,Kp,L,A
 5.00,  5000,-4.5, 2.0, 0.1101, 0.4328,Kp,L,A
 3.50,  5250,-4.5, 2.0, 0.2853, 0.3334,Kp,L,A
 4.00,  5250,-4.5, 2.0, 0.2559, 0.3539,Kp,L,A
