logg,Teff,Z,xi,aLSM,bLSM
3.5,4000,-5.0,2.0,-0.0481,0.4858
3.5,4250,-5.0,2.0,0.0394,0.4041
4.0,4250,-5.0,2.0,-0.0065,0.4091
3.5,4500,-5.0,2.0,0.0941,0.4037
4.0,4500,-5.0,2.0,0.0326,0.4183
3.5,4750,-5.0,2.0,0.1689,0.3631
4.0,4750,-5.0,2.0,0.1062,0.3961
4.5,4750,-5.0,2.0,0.051,0.4097
3.5,5000,-5.0,2.0,0.1914,0.3489
4.0,5000,-5.0,2.0,0.1722,0.3557
4.5,5000,-5.0,2.0,0.1276,0.378
5.0,5000,-5.0,2.0,0.0953,0.3795
3.5,5250,-5.0,2.0,0.201,0.3366
4.0,5250,-5.0,2.0,0.1939,0.34
4.5,5250,-5.0,2.0,0.1644,0.3556
5.0,5250,-5.0,2.0,0.1158,0.3811
3.5,5500,-5.0,2.0,0.2155,0.3197
4.0,5500,-5.0,2.0,0.1998,0.33
4.5,5500,-5.0,2.0,0.1792,0.3416
5.0,5500,-5.0,2.0,0.1506,0.3584
3.5,5750,-5.0,2.0,0.2215,0.3078
4.0,5750,-5.0,2.0,0.2111,0.3157
4.5,5750,-5.0,2.0,0.1938,0.3273
5.0,5750,-5.0,2.0,0.171,0.3418
3.5,6000,-5.0,2.0,0.224,0.2988
4.0,6000,-5.0,2.0,0.2194,0.3026
4.5,6000,-5.0,2.0,0.2074,0.3108
5.0,6000,-5.0,2.0,0.1877,0.3249
3.5,6250,-5.0,2.0,0.2246,0.2915
4.0,6250,-5.0,2.0,0.2196,0.2957
4.5,6250,-5.0,2.0,0.2084,0.3041
5.0,6250,-5.0,2.0,0.1989,0.3106
3.5,6500,-5.0,2.0,0.2189,0.2892
4.0,6500,-5.0,2.0,0.2177,0.2904
4.5,6500,-5.0,2.0,0.213,0.294
5.0,6500,-5.0,2.0,0.2023,0.302
3.5,6750,-5.0,2.0,0.2085,0.2912
4.0,6750,-5.0,2.0,0.2105,0.2898
4.5,6750,-5.0,2.0,0.2103,0.29
5.0,6750,-5.0,2.0,0.2049,0.2941
3.5,7000,-5.0,2.0,0.1951,0.2959
4.0,7000,-5.0,2.0,0.1999,0.2924
4.5,7000,-5.0,2.0,0.2033,0.2898
5.0,7000,-5.0,2.0,0.2008,0.2918
3.5,7250,-5.0,2.0,0.1836,0.2982
4.0,7250,-5.0,2.0,0.1862,0.2972
4.5,7250,-5.0,2.0,0.1928,0.2925
5.0,7250,-5.0,2.0,0.1934,0.2922
3.5,7500,-5.0,2.0,0.3067,0.1858
4.0,7500,-5.0,2.0,0.1813,0.2964
4.5,7500,-5.0,2.0,0.181,0.2964
5.0,7500,-5.0,2.0,0.1828,0.2954
3.5,7750,-5.0,2.0,0.2829,0.2023
4.0,7750,-5.0,2.0,0.2903,0.1941
4.5,7750,-5.0,2.0,0.1687,0.3006
5.0,7750,-5.0,2.0,0.1712,0.2992
3.5,8000,-5.0,2.0,0.2561,0.2179
4.0,8000,-5.0,2.0,0.2679,0.2087
4.5,8000,-5.0,2.0,0.2739,0.2026
5.0,8000,-5.0,2.0,0.1578,0.3039
3.5,8250,-5.0,2.0,0.2291,0.2318
4.0,8250,-5.0,2.0,0.2435,0.2217
4.5,8250,-5.0,2.0,0.2535,0.2145
5.0,8250,-5.0,2.0,0.1514,0.3036
3.5,8500,-5.0,2.0,0.209,0.2414
4.0,8500,-5.0,2.0,0.2197,0.2311
4.5,8500,-5.0,2.0,0.233,0.2242
5.0,8500,-5.0,2.0,0.2379,0.2221
3.5,8750,-5.0,2.0,0.1923,0.2477
4.0,8750,-5.0,2.0,0.2004,0.2389
4.5,8750,-5.0,2.0,0.2104,0.2323
5.0,8750,-5.0,2.0,0.22,0.2295
3.5,9000,-5.0,2.0,0.1799,0.2499
4.0,9000,-5.0,2.0,0.1858,0.2434
4.5,9000,-5.0,2.0,0.1928,0.2364
5.0,9000,-5.0,2.0,0.1999,0.2294
3.5,9250,-5.0,2.0,0.1705,0.2505
4.0,9250,-5.0,2.0,0.1746,0.2452
4.5,9250,-5.0,2.0,0.1797,0.2404
5.0,9250,-5.0,2.0,0.1854,0.2346
3.5,9500,-5.0,2.0,0.1638,0.2496
4.0,9500,-5.0,2.0,0.1661,0.2454
4.5,9500,-5.0,2.0,0.1692,0.2422
5.0,9500,-5.0,2.0,0.1731,0.2384
3.5,9750,-5.0,2.0,0.1575,0.2494
4.0,9750,-5.0,2.0,0.1598,0.2444
4.5,9750,-5.0,2.0,0.1609,0.2425
5.0,9750,-5.0,2.0,0.1632,0.2402
3.5,10000,-5.0,2.0,0.1524,0.2487
4.0,10000,-5.0,2.0,0.1542,0.2438
4.5,10000,-5.0,2.0,0.1547,0.242
5.0,10000,-5.0,2.0,0.1557,0.2404
3.5,3750,-4.5,2.0,0.0306,0.515
3.5,4000,-4.5,2.0,-0.0155,0.4619
4.0,4000,-4.5,2.0,-0.0418,0.5121
3.5,4250,-4.5,2.0,0.0445,0.4053
4.0,4250,-4.5,2.0,0.0047,0.4123
4.5,4250,-4.5,2.0,-0.0135,0.4116
3.5,4500,-4.5,2.0,0.1275,0.3702
4.0,4500,-4.5,2.0,0.0701,0.3881
4.5,4500,-4.5,2.0,0.0278,0.3942
5.0,4500,-4.5,2.0,-0.0022,0.3892
3.5,4750,-4.5,2.0,0.1604,0.37
4.0,4750,-4.5,2.0,0.1092,0.395
4.5,4750,-4.5,2.0,0.0861,0.382
5.0,4750,-4.5,2.0,0.0478,0.3845
3.5,5000,-4.5,2.0,0.1845,0.3529
4.0,5000,-4.5,2.0,0.1573,0.3675
4.5,5000,-4.5,2.0,0.1198,0.3824
5.0,5000,-4.5,2.0,0.0646,0.4062
3.5,5250,-4.5,2.0,0.2033,0.3342
4.0,5250,-4.5,2.0,0.1822,0.3472
4.5,5250,-4.5,2.0,0.1538,0.3637
5.0,5250,-4.5,2.0,0.1155,0.3836
3.5,5500,-4.5,2.0,0.2167,0.318
4.0,5500,-4.5,2.0,0.2004,0.329
4.5,5500,-4.5,2.0,0.178,0.3434
5.0,5500,-4.5,2.0,0.1495,0.3599
3.5,5750,-4.5,2.0,0.2228,0.3064
4.0,5750,-4.5,2.0,0.2173,0.3102
4.5,5750,-4.5,2.0,0.1953,0.326
5.0,5750,-4.5,2.0,0.1725,0.341
3.5,6000,-4.5,2.0,0.2227,0.2999
4.0,6000,-4.5,2.0,0.2148,0.3063
4.5,6000,-4.5,2.0,0.2078,0.3105
5.0,6000,-4.5,2.0,0.1782,0.331
3.5,6250,-4.5,2.0,0.2248,0.291
4.0,6250,-4.5,2.0,0.2198,0.2952
4.5,6250,-4.5,2.0,0.2087,0.3035
5.0,6250,-4.5,2.0,0.1921,0.3159
3.5,6500,-4.5,2.0,0.2191,0.2887
4.0,6500,-4.5,2.0,0.2178,0.29
4.5,6500,-4.5,2.0,0.2132,0.2936
