# Mean dwarf stellar sequence from Pecaut & Mamajek (2013, ApJS, 208, 9),
# using the maintained table "A Modern Mean Dwarf Stellar Color and Effective
# Temperature Sequence" by E. Mamajek (version 2022.04.16),
# http://www.pas.rochester.edu/~emamajek/EEM_dwarf_UBVIJHK_colors_Teff.txt
# Columns: SpT, Teff [K], BCv, R_Rsun, Mv, B-V, G-V, Bp-Rp, G-Rp, M_G,
# V-Ks, J-H, H-Ks, M_J, M_Ks, Msun.  Empty = not tabulated. Gaia = DR2.
SpT,Teff,BCv,R_Rsun,Mv,BV,GV,BpRp,GRp,M_G,VKs,JH,HKs,M_J,M_Ks,Msun
O3V,44900,-4.01,13.43,-5.80,-0.330,,,,,,,,,,59
O4V,42900,-3.89,12.13,-5.50,-0.326,,,,,,,,,,48
O5V,41400,-3.76,11.45,-5.35,-0.323,,,,,,,,,,43
O5.5V,40500,-3.67,10.71,-5.20,-0.322,,,,,,,,,,38
O6V,39500,-3.57,10.27,-5.10,-0.321,,,,,,,,,,35
O6.5V,38300,-3.49,9.82,-4.95,-0.319,,,,,,,,,,31
O7V,37100,-3.41,9.42,-4.80,-0.318,,,,,,,,,,28
O7.5V,36100,-3.33,8.95,-4.65,-0.317,,,,,,,,,,26
O8V,35100,-3.24,8.47,-4.50,-0.315,,,,,,,,,,23.6
O8.5V,34300,-3.18,8.06,-4.35,-0.314,,,,,,,,,,21.9
O9V,33300,-3.11,7.72,-4.20,-0.312,,,,,-1.000,-0.164,-0.071,-3.44,-3.20,20.2
O9.5V,31900,-3.01,7.50,-4.05,-0.307,,,,,-0.977,-0.161,-0.069,-3.30,-3.073,18.7
B0V,31400,-2.99,7.16,-3.90,-0.301,,,,,-0.958,-0.159,-0.067,-3.17,-2.942,17.7
B0.5V,29000,-2.83,6.48,-3.50,-0.289,,,,,-0.913,-0.153,-0.063,-2.80,-2.587,14.8
B1V,26000,-2.58,5.71,-3.00,-0.278,,,,,-0.874,-0.148,-0.059,-2.33,-2.126,11.8
B1.5V,24500,-2.44,5.02,-2.60,-0.252,-0.021,,,,-0.752,-0.132,-0.047,-2.03,-1.848,9.9
B2V,20600,-2.03,4.06,-1.80,-0.215,-0.008,,,,-0.602,-0.113,-0.032,-1.34,-1.198,7.3
B2.5V,18500,-1.77,3.89,-1.50,-0.198,-0.003,,,,-0.544,-0.105,-0.026,-1.09,-0.956,6.1
B3V,17000,-1.54,3.61,-1.20,-0.178,0.001,,,-1.19,-0.492,-0.098,-0.021,-0.83,-0.708,5.4
B4V,16400,-1.49,3.46,-1.00,-0.165,0.004,,,-0.99,-0.447,-0.092,-0.016,-0.66,-0.553,5.1
B5V,15700,-1.34,3.36,-0.85,-0.156,0.007,,,-0.84,-0.380,-0.084,-0.010,-0.54,-0.376,4.7
B6V,14500,-1.13,3.27,-0.55,-0.140,0.010,,,-0.54,-0.358,-0.081,-0.007,-0.28,-0.192,4.3
B7V,14000,-1.05,2.94,-0.40,-0.128,0.012,,,-0.39,-0.325,-0.077,-0.004,-0.16,-0.075,3.92
B8V,12300,-0.73,2.86,0.00,-0.109,0.016,,,-0.01,-0.254,-0.067,0.003,0.19,0.254,3.38
B9V,10700,-0.42,2.49,0.50,-0.070,0.018,-0.120,-0.036,0.515,-0.121,-0.050,0.016,0.59,0.621,2.75
B9.5V,10400,-0.36,2.45,0.60,-0.050,0.017,-0.087,-0.016,0.615,-0.048,-0.044,0.021,0.63,0.648,2.68
A0V,9700,-0.21,2.193,0.99,0.000,0.015,-0.037,-0.020,1.00,0.041,-0.032,0.028,0.95,0.949,2.18
A1V,9300,-0.14,2.136,1.16,0.035,0.01,0.005,0.032,1.16,0.090,-0.025,0.030,1.08,1.07,2.05
A2V,8800,-0.07,2.117,1.35,0.070,0.00,0.068,0.050,1.345,0.178,-0.012,0.034,1.19,1.172,1.98
A3V,8600,-0.04,1.861,1.70,0.100,-0.005,0.110,0.092,1.69,0.253,0.003,0.035,1.49,1.447,1.86
A4V,8250,-0.02,1.794,1.94,0.140,-0.01,0.166,0.113,1.92,0.353,0.022,0.037,1.65,1.587,1.93
A5V,8100,0.00,1.785,2.01,0.160,-0.015,0.194,0.130,1.98,0.403,0.031,0.038,1.68,1.607,1.88
A6V,7910,0.005,1.775,2.12,0.185,-0.02,0.222,0.152,2.09,0.465,0.043,0.039,1.74,1.655,1.83
A7V,7760,0.01,1.750,2.23,0.210,-0.03,0.263,0.173,2.19,0.528,0.055,0.040,1.80,1.702,1.77
